procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  53820  15452 283756    0    0     0     0  255  147  1  0 99  0  0
 0  0      0  53820  15452 283760    0    0     0     0  253  143  1  0 99  0  0
 8  0      0  53820  15452 283760    0    0     0     0  272  193 28  1 71  0  0
 0  0      0  53820  15452 283760    0    0     0     0  268  217 36  0 64  0  0
 0  0      0  53820  15452 283760    0    0     0     0  255  144  0  0 100  0  0
 0  0      0  53820  15452 283760    0    0     0     0  252  142  1  0 99  0  0
 0  0      0  53820  15452 283760    0    0     0     0  254  144  0  0 100  0  0
 0  0      0  53820  15452 283760    0    0     0     0  252  141  1  0 99  0  0
 0  0      0  53820  15452 283760    0    0     0     0  262  150  6  0 94  0  0
 0  0      0  53820  15452 283760    0    0     0     0  252  137  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  53820  15452 283760    0    0     0     0  257  148  1  0 99  0  0
 0  0      0  53820  15452 283760    0    0     0     0  253  142  0  1 99  0  0
 0  0      0  53820  15452 283760    0    0     0     0  264  143  8  0 92  0  0
 0  0      0  53820  15452 283760    0    0     0     0  291  269 55  0 45  0  0
 0  0      0  53820  15452 283760    0    0     0     0  251  142  1  1 98  0  0
 0  0      0  53820  15452 283760    0    0     0     0  253  142  0  0 100  0  0
 0  0      0  53820  15452 283760    0    0     0     0  254  144  1  0 99  0  0
 0  0      0  53820  15452 283760    0    0     0     0  252  144  0  0 100  0  0
 0  0      0  53820  15452 283760    0    0     0     0  259  147  9  0 91  0  0
 0  0      0  53820  15452 283760    0    0     0     0  253  136  1  0 99  0  0
 0  0      0  53820  15452 283760    0    0     0     0  254  143  0  0 100  0  0
 0  0      0  53820  15452 283760    0    0     0     0  253  143  1  1 98  0  0
 0  0      0  53820  15452 283760    0    0     0     0  259  143  7  0 93  0  0
 7  0      0  53820  15452 283760    0    0     0     0  271  192 29  0 71  0  0
 0  0      0  53820  15452 283760    0    0     0     0  269  216 31  0 69  0  0
 0  0      0  53820  15452 283760    0    0     0     0  253  141  0  1 99  0  0
 0  0      0  53820  15452 283760    0    0     0     0  255  144  0  0 100  0  0
 0  0      0  53820  15452 283760    0    0     0     0  252  138  1  0 99  0  0
 0  0      0  53820  15452 283760    0    0     0     0  260  150  7  0 93  0  0
 0  0      0  53820  15452 283760    0    0     0     0  253  138  1  0 99  0  0
 0  0      0  53820  15452 283760    0    0     0     0  255  142  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  53820  15452 283760    0    0     0     0  252  143  0  0 100  0  0
 0  0      0  53820  15452 283760    0    0     0     0  259  147  7  1 92  0  0
 0  0      0  53820  15452 283760    0    0     0     0  261  139  9  1 90  0  0
 0  0      0  53820  15452 283760    0    0     0     0  281  267 51  0 49  0  0
 0  0      0  53820  15452 283760    0    0     0     0  253  138  1  1 98  0  0
 0  0      0  53820  15452 283760    0    0     0     0  257  143  2  0 98  0  0
 0  0      0  53820  15452 283760    0    0     0     0  253  141  1  0 99  0  0
 0  0      0  53820  15452 283760    0    0     0     0  263  147 10  0 90  0  0
 0  0      0  53820  15452 283760    0    0     0     0  252  137  2  0 98  0  0
 0  0      0  53820  15452 283760    0    0     0     0  255  158  1  0 99  0  0
 0  0      0  53820  15452 283760    0    0     0     0  253  143  2  0 98  0  0
 0  0      0  53820  15452 283760    0    0     0     0  259  147  7  0 93  0  0
 0  0      0  53820  15452 283760    0    0     0     0  256  138  6  1 93  0  0
 7  0      0  53820  15452 283760    0    0     0     0  275  211 28  0 72  0  0
 0  0      0  53820  15452 283760    0    0     0     0  261  191 22  0 78  0  0
 0  0      0  53820  15452 283760    0    0     0     0  253  146  0  0 100  0  0
 0  0      0  53820  15452 283764    0    0     0     0  251  135  1  0 99  0  0
 0  0      0  53820  15452 283764    0    0     0     0  257  147  6  0 94  0  0
 0  0      0  53820  15452 283764    0    0     0     0  252  136  1  1 98  0  0
 0  0      0  53820  15452 283764    0    0     0     0  254  145  0  0 100  0  0
 0  0      0  53820  15452 283764    0    0     0     0  252  139  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  53820  15452 283764    0    0     0     0  257  148  9  0 91  0  0
 0  0      0  53820  15452 283764    0    0     0     0  258  140  9  0 91  0  0
 0  0      0  53820  15452 283764    0    0     0     0  254  144  0  1 99  0  0
 0  0      0  53820  15452 283764    0    0     0     0  280  266 51  0 49  0  0
 0  0      0  53820  15452 283764    0    0     0     0  255  145  0  0 100  0  0
 0  0      0  53820  15452 283764    0    0     0     0  254  137  0  1 99  0  0
 0  0      0  53820  15452 283764    0    0     0     0  258  149  9  0 91  0  0
 0  0      0  53820  15452 283764    0    0     0     0  255  134  1  0 99  0  0
 0  0      0  53820  15452 283764    0    0     0     0  256  150  1  0 99  0  0
 0  0      0  53820  15452 283764    0    0     0     0  252  143  2  0 98  0  0
 0  0      0  53820  15452 283764    0    0     0     0  253  150  9  0 91  0  0
 0  0      0  53820  15452 283764    0    0     0     0  257  136  8  0 92  0  0
 0  0      0  53820  15452 283764    0    0     0     0  255  142  1  0 99  0  0
 7  0      0  53820  15452 283764    0    0     0     0  272  225 35  0 65  0  0
 0  0      0  53820  15452 283764    0    0     0     0  263  183 17  0 83  0  0
 0  0      0  53820  15452 283764    0    0     0     0  252  138  1  0 99  0  0
 0  0      0  61800  15452 283764    0    0     0     0  254  158  1  0 99  0  0
 0  0      0  61832  15452 283768    0    0     0     0  252  220  0  0 100  0  0
 0  0      0  61832  15452 283768    0    0     0     0  255  147  1  0 99  0  0
 0  0      0  61832  15452 283768    0    0     0     0  253  141  0  0 100  0  0
 0  0      0  69704  15452 283768    0    0     0     0  257  160  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  77716  15452 283772    0    0     0     0  254  156  1  0 99  0  0
 0  0      0  77732  15452 283776    0    0     0     0  256  147  1  0 99  0  0
 0  0      0  77732  15452 283776    0    0     0     0  254  138  1  1 98  0  0
 0  0      0 133628  15452 283804    0    0     0     0  259  204  1  0 99  0  0
 1  0      0 133628  15452 283804    0    0     0     0  253  143  1  0 99  0  0
 0  0      0 133628  15452 283804    0    0     0     0  253  144  2  0 98  0  0
 0  0      0 133628  15452 283804    0    0     0     0  255  139  1  0 99  0  0
 0  0      0 133628  15452 283804    0    0     0     0  254  147  0  0 100  0  0
 0  0      0 133628  15452 283804    0    0     0     0  253  143  1  0 99  0  0
 0  0      0 133628  15452 283804    0    0     0     0  255  146  2  0 98  0  0
 0  0      0 133628  15452 283804    0    0     0     0  254  139  1  0 99  0  0
 0  0      0 133628  15452 283804    0    0     0     0  254  145  1  0 99  0  0
